variant,pvt_bundle,mos_corner,res_corner,temp_c,band_code,vctrl_v,period_s,freq_hz
none,typ,mos_tt,res_typ,27,11,2.7,7.406341e-10,1350194380.7340224
r_only,fast,mos_ff,res_bcs,-40,00,0.3,1.848709e-09,540918013.597597
r_only,fast,mos_ff,res_bcs,-40,00,0.9,1.709384e-09,585006060.6627885
r_only,fast,mos_ff,res_bcs,-40,00,1.5,1.384963e-09,722040949.8304286
r_only,fast,mos_ff,res_bcs,-40,00,2.1,1.145452e-09,873017813.0554576
r_only,fast,mos_ff,res_bcs,-40,00,2.7,9.864992e-10,1013685566.090677
r_only,fast,mos_ff,res_bcs,-40,11,0.3,1.848709e-09,540918013.597597
r_only,fast,mos_ff,res_bcs,-40,11,0.9,1.606583e-09,622439052.324094
r_only,fast,mos_ff,res_bcs,-40,11,1.5,1.030588e-09,970319856.2374101
r_only,fast,mos_ff,res_bcs,-40,11,2.1,7.646688e-10,1307755723.7852519
r_only,fast,mos_ff,res_bcs,-40,11,2.7,6.544091e-10,1528096109.910452
r_only,slow,mos_ss,res_wcs,125,00,0.3,2.275101e-09,439540925.8753787
r_only,slow,mos_ss,res_wcs,125,00,0.9,2.095274e-09,477264548.6938701
r_only,slow,mos_ss,res_wcs,125,00,1.5,1.731956e-09,577381873.4425124
r_only,slow,mos_ss,res_wcs,125,00,2.1,1.461381e-09,684284248.9398726
r_only,slow,mos_ss,res_wcs,125,00,2.7,1.283122e-09,779349118.7899513
r_only,slow,mos_ss,res_wcs,125,11,0.3,2.275101e-09,439540925.8753787
r_only,slow,mos_ss,res_wcs,125,11,0.9,1.980150e-09,505012246.5469788
r_only,slow,mos_ss,res_wcs,125,11,1.5,1.369494e-09,730196700.3871503
r_only,slow,mos_ss,res_wcs,125,11,2.1,1.050295e-09,952113453.8391595
r_only,slow,mos_ss,res_wcs,125,11,2.7,9.177145e-10,1089663506.4608874
r_only,typ,mos_tt,res_typ,27,00,0.3,2.049188e-09,487998172.93484056
r_only,typ,mos_tt,res_typ,27,00,0.9,1.899027e-09,526585456.6575409
r_only,typ,mos_tt,res_typ,27,00,1.5,1.544869e-09,647304075.6206514
r_only,typ,mos_tt,res_typ,27,00,2.1,1.284102e-09,778754335.7147641
r_only,typ,mos_tt,res_typ,27,00,2.7,1.112666e-09,898742300.0253445
r_only,typ,mos_tt,res_typ,27,11,0.3,2.049188e-09,487998172.93484056
r_only,typ,mos_tt,res_typ,27,11,0.9,1.792172e-09,557982157.962517
r_only,typ,mos_tt,res_typ,27,11,1.5,1.176580e-09,849920957.3509663
r_only,typ,mos_tt,res_typ,27,11,2.1,8.760148e-10,1141533225.2377472
r_only,typ,mos_tt,res_typ,27,11,2.7,7.508602e-10,1331805840.8209677
